@_fa,prism:url,dc:title,dc:creator,prism:publicationName,prism:coverDate,prism:doi,policy_citation_count,news_mentions
true,https://api.elsevier.com/content/abstract/scopus_id/105017462117,The role of reviewers in the era of systematic reviews and meta-analysis: A practical guide for researchers,Begagić E.,Biomolecules and Biomedicine,2026-09-25,10.17305/bb.2025.12979,0,1
true,https://api.elsevier.com/content/abstract/scopus_id/105017462690,Atherogenic index of plasma and risk of diabetic nephropathy in type 2 diabetes: A meta-analysis,Min D.,Biomolecules and Biomedicine,2026-09-25,10.17305/bb.2025.12731,0,1
true,https://api.elsevier.com/content/abstract/scopus_id/105014917411,Prevalence of Molar Incisor Hypomineralization in Brazilian Children and Adolescents: A Systematic Review and Meta-Analysis,Mendes R.C.,Pesquisa Brasileira Em Odontopediatria E Clinica Integrada,2026-08-19,10.1590/pboci.2026.003,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105017092065,Sodium Hypochlorite Pulpotomy in Primary Teeth: A Systematic Review and Network Meta-Analysis,Tavares B.S.,Pesquisa Brasileira Em Odontopediatria E Clinica Integrada,2026-08-19,10.1590/pboci.2026.026,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105018210643,Chinese herbal medicine Ding Kun Dan for menopausal syndrome: A systematic review and meta-analysis of randomized controlled trials,Su Y.,Integrative Medicine Research,2026-06-01,10.1016/j.imr.2025.101254,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105018217834,Different inspiratory muscle training methods improve exercise and cardiopulmonary function of patients after cardiac surgery: a network meta-analysis,Ping C.,Chinese Journal of Tissue Engineering Research,2026-04-28,10.12307/2026.702,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105018189685,Effects of long-term exercise interventions on appetite-regulating hormones in overweight and obese populations: a meta-analysis,Xianyang X.,Chinese Journal of Tissue Engineering Research,2026-04-18,10.12307/2026.123,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105005779091,Covered Self-Expanding Metal Stents Versus Multiple Plastic Stents in Treating Biliary Strictures Post-Orthotopic Liver Transplantation: A Systematic Review and Meta-Analysis of Randomized Controlled Trials,Rocha Fernandes Y.,Den Open,2026-04-01,10.1002/deo2.70143,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105015952275,Endoscopic Ultrasound-guided Drainage With Lumen-apposing Metal Stent versus Plastic Stent for the Treatment of Pancreatic Pseudocyst: A Systematic Review and Meta-analysis,Ardengh A.O.,Den Open,2026-04-01,10.1002/deo2.70165,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105004182623,Assessing the effectiveness of texture and color enhancement imaging versus white-light endoscopy in detecting gastrointestinal lesions: A systematic review and meta-analysis,Shahzil M.,Den Open,2026-04-01,10.1002/deo2.70128,0,0
