@_fa,prism:url,dc:title,dc:creator,prism:publicationName,prism:coverDate,prism:doi
true,https://api.elsevier.com/content/article/pii/S2666667725003861,Association between proprotein convertase subtilisin/kexin type 9 targeted therapies and the risk of arrhythmias: a meta-analysis of randomized controlled trials,Vikash Jaiswal,American Journal of Preventive Cardiology,2025-12-31,10.1016/j.ajpc.2025.101311
true,https://api.elsevier.com/content/article/pii/S030228382500291X,Duration of Androgen Suppression with Postoperative Radiotherapy (DADSPORT) for Nonmetastatic Prostate Cancer: A Collaborative Systematic Review and Meta-analysis of Aggregate Data,Sarah Burdett,European Urology,2025-09-30,10.1016/j.eururo.2025.05.013
true,https://api.elsevier.com/content/article/pii/S0025619625000758,<ce:marker name=suppmat alt=Supplementary Materials altimg-small=suppmat_s.svg altimg=suppmat_o.svg></ce:marker>Impact of Lipid-Lowering Combination Therapy With Statins and Ezetimibe vs Statin Monotherapy on the Reduction of Cardiovascular Outcomes: A Meta-analysis,Maciej Banach,Mayo Clinic Proceedings,2025-03-23,10.1016/j.mayocp.2025.01.018
true,https://api.elsevier.com/content/article/pii/S0953620524004369,Validating ChatGPT's role in systematic reviews and meta-analyses: A case study on GLP-1 receptor agonists and all-cause mortality,Lefteris Teperikidis,European Journal of Internal Medicine,2025-04-30,10.1016/j.ejim.2024.10.017
true,https://api.elsevier.com/content/article/pii/S2666979X2200163X,Meta-analysis fine-mapping is often miscalibrated at single-variant resolution,Masahiro Kanai,Cell Genomics,2022-12-14,10.1016/j.xgen.2022.100210
true,https://api.elsevier.com/content/article/pii/S2666979X23001209,Multi-ancestry meta-analysis identifies 5 novel loci for ischemic stroke and reveals heterogeneity of effects between sexes and ancestries,Ida Surakka,Cell Genomics,2023-08-09,10.1016/j.xgen.2023.100345
true,https://api.elsevier.com/content/article/pii/S2666979X22001264,Leveraging global multi-ancestry meta-analysis in the study of idiopathic pulmonary fibrosis genetics,Juulia J. Partanen,Cell Genomics,2022-10-12,10.1016/j.xgen.2022.100181
true,https://api.elsevier.com/content/article/pii/S2666979X22001252,"Best practices for multi-ancestry, meta-analytic transcriptome-wide association studies: Lessons from the Global Biobank Meta-analysis Initiative",Arjun Bhattacharya,Cell Genomics,2022-10-12,10.1016/j.xgen.2022.100180
true,https://api.elsevier.com/content/article/pii/S2666979X22001392,A practical guideline of genomics-driven drug discovery in the era of global biobank meta-analysis,Shinichi Namba,Cell Genomics,2022-10-12,10.1016/j.xgen.2022.100190
true,https://api.elsevier.com/content/article/pii/S2666979X22001653,Multi-ancestry meta-analysis of asthma identifies novel associations and highlights the value of increased power and diversity,Kristin Tsuo,Cell Genomics,2022-12-14,10.1016/j.xgen.2022.100212
true,https://api.elsevier.com/content/article/pii/S2666979X22001446,Proteome-wide Mendelian randomization in global biobank meta-analysis reveals multi-ancestry drug targets for common diseases,Huiling Zhao,Cell Genomics,2022-11-09,10.1016/j.xgen.2022.100195
true,https://api.elsevier.com/content/article/pii/S0302283821020583,Adjuvant Chemotherapy for Muscle-invasive Bladder Cancer: A Systematic Review and Meta-analysis of Individual Participant Data from Randomised Controlled Trials,European Urology,2022-01-31,10.1016/j.eururo.2021.09.028
true,https://api.elsevier.com/content/article/pii/S0140673622020748,Impact of diabetes on the effects of sodium glucose co-transporter-2 inhibitors on kidney outcomes: collaborative meta-analysis of large placebo-controlled trials,The Lancet,2022-11-25,10.1016/S0140-6736(22)02074-8
true,https://api.elsevier.com/content/article/pii/S0025619622004396,<ce:marker name=autintr alt=Author Interview altimg-small=autintr_s.svg altimg=autintr_o.svg></ce:marker><ce:marker name=suppmat alt=Supplementary Materials altimg-small=suppmat_s.svg altimg=suppmat_o.svg></ce:marker>Effect of the Renin-Angiotensin System Inhibitors on Inflammatory Markers: A Systematic Review and Meta-analysis of Randomized Controlled Trials,Kamal Awad,Mayo Clinic Proceedings,2022-10-31,10.1016/j.mayocp.2022.06.036
true,https://api.elsevier.com/content/article/pii/S2666364325001286,Risk factors associated with incidence of lung cancer in never-smokers: a systematic review and meta-analysis,Sindhu Bhaarrati Naidu,JTO Clinical and Research Reports,2025-09-18,10.1016/j.jtocrr.2025.100910
true,https://api.elsevier.com/content/article/pii/S2215036622002279,Treatment efficacy and effectiveness in adults with major depressive disorder and childhood trauma history: a systematic review and meta-analysis,The Lancet Psychiatry,2022-11-30,10.1016/S2215-0366(22)00227-9
true,https://api.elsevier.com/content/article/pii/S1389945725005490,Age- and dose-specific effects of caffeine on sleep: A meta-analysis of controlled crossover trials,Yu-Hsien Chang,Sleep Medicine,2025-12-31,10.1016/j.sleep.2025.106874
true,https://api.elsevier.com/content/article/pii/S2213260022000431,Awake prone positioning for non-intubated patients with COVID-19-related acute hypoxaemic respiratory failure: a systematic review and meta-analysis,Jie Li,The Lancet Respiratory Medicine,2022-06-30,10.1016/S2213-2600(22)00043-1
true,https://api.elsevier.com/content/article/pii/S0304389425031917,Neurological effects induced by micro- and nanoplastics in fish: A systematic review and meta-analysis,Querusche Klippel Zanona,Journal of Hazardous Materials,2025-11-05,10.1016/j.jhazmat.2025.140271
true,https://api.elsevier.com/content/article/pii/S0022480425006420,Diagnostic Test Accuracy Meta-Analysis: A Practical Guide to Hierarchical Models,Javier Arredondo Montero,Journal of Surgical Research,2025-11-30,10.1016/j.jss.2025.09.072
true,https://api.elsevier.com/content/article/pii/S0301051125001309,A multiverse meta-analysis of oxytocin administration studies,Heemin Kang,Biological Psychology,2025-10-31,10.1016/j.biopsycho.2025.109112
true,https://api.elsevier.com/content/article/pii/S0149763425004385,Neural alterations in substance use disorders: A meta-analysis using activation network mapping across and within task domains,Maxime Roberge,Neuroscience & Biobehavioral Reviews,2025-12-31,10.1016/j.neubiorev.2025.106437
true,https://api.elsevier.com/content/article/pii/S0378512225005584,Effect of duration of hormonal contraceptive use on breast cancer risk: a systematic review and meta-analysis of cohort studies,Carmen Sayon-Orea,Maturitas,2025-11-30,10.1016/j.maturitas.2025.108750
